10000 2
75 40 0
-51 27 1
-35 -11 1
94 -57 1
-21 -5 1
-8 53 1
-6 35 1
-70 12 1
-70 -84 0
-6 63 0
99 -65 1
-13 -60 1
83 -27 0
-87 -4 1
-2 -100 0
67 66 1
-32 5 0
67 -76 0
19 -70 0
37 -18 0
-35 -34 1
-79 83 1
31 -42 1
-96 22 1
76 7 0
80 30 0
-59 38 0
28 -49 0
45 -18 0
13 35 1
-45 -78 0
-9 79 1
47 -93 1
17 59 0
-81 -98 1
-17 8 1
-80 -77 0
79 -24 0
-22 48 0
74 83 1
-99 -48 0
62 -24 1
-84 -72 0
13 -76 1
-42 -4 0
-94 97 1
-67 -87 0
-82 -52 0
45 -20 0
98 -52 0
98 34 0
-64 38 1
42 -14 1
-2 -43 0
-7 -36 1
-63 14 0
100 -48 1
14 96 0
8 10 0
80 -45 1
-89 38 1
-79 -66 1
-64 42 0
-31 15 0
33 25 1
-67 -48 0
52 19 0
77 81 0
32 49 0
55 91 1
11 87 1
42 2 0
-69 63 0
67 -24 0
9 90 0
-19 13 1
-69 14 0
-79 -75 0
-69 17 0
-88 67 0
98 26 0
-96 -33 1
73 -34 0
22 75 1
-1 -19 1
75 27 1
-97 -26 0
-2 -34 0
-37 51 0
15 -89 1
94 -23 1
95 39 0
-47 -66 0
-38 -25 1
-35 -67 1
32 47 1
-86 -18 1
-23 -37 0
-23 11 1
31 11 1
11 92 1
-21 -80 0
-24 -53 1
-56 26 1
-14 4 0
-56 30 1
93 -68 1
63 -97 1
-99 -57 0
86 63 0
98 71 0
-97 13 1
31 -74 0
-80 -91 0
9 -67 1
37 59 1
-10 -85 0
1 -45 0
-76 -54 1
-76 83 1
-57 -43 0
62 30 1
48 74 1
19 99 0
35 -63 0
-34 -44 0
-75 -70 0
57 35 1
2 -40 0
-71 -91 1
-16 0 1
68 82 0
67 62 0
-95 70 1
-74 -46 1
-51 -94 0
49 -68 0
-80 84 0
-62 18 1
-9 97 0
82 -1 1
-79 -56 1
-100 58 1
-18 -87 0
-55 64 1
65 96 0
17 -24 1
67 -20 0
81 44 1
17 79 1
-6 -2 0
-1 84 1
-74 -64 0
34 -23 0
-14 89 0
-52 50 1
-69 8 0
-51 -42 0
63 86 1
-38 -52 1
14 -70 1
65 -17 0
28 -48 0
-61 -10 0
-76 75 1
66 9 0
79 -8 1
60 -72 0
-84 2 1
-82 38 0
-6 -50 0
27 -72 1
5 79 0
-56 91 0
-29 -81 1
95 3 0
-26 3 1
-32 -6 1
92 -19 1
-59 43 0
65 -75 1
-30 4 0
11 -39 0
-55 16 1
23 22 1
-99 44 1
84 36 0
-71 38 1
-65 -10 0
-80 -72 1
12 13 1
-84 84 0
92 70 1
-46 -50 1
-60 80 1
-57 57 0
42 -77 1
100 76 1
21 73 0
-76 95 1
12 -45 0
-43 -30 1
-16 -34 0
-18 -61 0
-72 -13 0
57 73 0
-77 -61 1
27 34 0
71 -81 1
-56 51 1
94 76 1
27 80 0
41 0 1
87 0 0
56 41 0
-58 34 0
-38 63 1
-73 97 0
-9 -18 1
-64 4 0
55 38 1
92 78 1
-48 63 0
-79 64 0
-11 -61 1
51 -62 0
3 30 0
-75 13 0
-20 -99 0
42 71 1
-82 -34 0
43 -78 0
-29 -71 0
-59 -64 1
83 -42 0
13 -99 0
20 18 0
-26 -49 1
-72 -59 1
9 80 1
1 -34 0
-3 81 0
-57 42 1
46 -67 0
49 20 1
-8 10 0
-30 -38 0
-1 15 0
93 91 1
65 -32 1
34 40 1
-100 -64 1
31 -19 0
59 97 0
45 -59 0
31 13 1
84 99 0
-81 47 1
-22 -100 1
77 15 1
31 3 0
-90 79 1
88 -20 1
-61 51 0
51 50 0
83 -56 1
-51 57 1
17 -12 0
-28 -44 1
-23 33 1
-70 87 1
-93 -64 1
-49 -96 1
25 68 1
48 91 1
52 63 1
27 8 0
-90 38 0
-40 18 0
-27 -39 0
-19 -71 0
-33 51 1
-7 -36 1
95 21 0
-94 -33 0
20 -72 0
19 81 1
-63 -13 0
-20 90 0
1 -60 1
-98 32 0
-75 32 0
-7 -96 1
-80 41 1
27 -37 1
6 32 1
-69 50 0
69 -15 1
-92 42 1
39 7 0
-4 79 0
-31 -92 1
41 100 1
43 -92 0
-70 81 1
32 -38 0
61 85 1
48 -42 0
44 -98 1
54 -28 0
6 19 0
-26 -14 1
15 1 1
-25 -80 0
-66 -52 1
-75 69 1
49 9 0
-46 0 1
-24 66 1
-22 -41 0
83 70 0
41 50 1
74 4 1
-53 60 1
-9 -17 1
85 -30 1
6 -87 0
60 -58 0
-95 43 0
98 7 1
-55 -71 1
56 -15 0
20 -41 1
32 36 1
-55 33 1
-26 35 1
